image,sentences,labels,link,evidence,ocr_text
2254.jpg,"['55 countries are reported to be at risk, with three dozen succumbing to crisis-level famines or above in the worst-case scenario', '265 million people are forecast to be in famine conditions, an increase of 125 million due to the coronavirus pandemic', 'the pandemic has severely impacted educational systems globally', 'most governments have temporarily closed educational institutions, with many switching to online education', 'as of 30 september 2020, approximately 1', '077 billion learners are currently affected due to school closures in response to the pandemic', 'according to unicef monitoring, 53 countries are currently implementing nationwide closures and 27 are implementing local closures, impacting about 61', ""6 percent of the world's student population""]","[0, 0, 1, 1, 1, 1, 1, 1]",,,"8 YEAR OLDS
CORONA
NOT HAVING
GLOBAL
TO GO TO
PANDEMIC
SCHOOL OR CHURCH
imgflip.com
"
1510.jpg,"['in september 2007, a non-binding resolution endorsing the plan passed the senate, but the idea was unfamiliar, had no political constituency, and failed to gain traction', ""iraq's political leadership denounced the resolution as de facto partitioning of the country, and the u"", 's', 'embassy in baghdad issued a statement distancing itself from it', 'in may 2008, biden sharply criticized president george w', 'bush\'s speech to israel\'s knesset in which bush compared some democrats to western leaders who appeased hitler before world war ii; biden called the speech ""bullshit"", ""malarkey"", and ""outrageous""', 'he later apologized for his language', 'after exploring the possibility of a run in several previous cycles, in january 2007, biden declared his candidacy in the 2008 elections', 'during his campaign, biden focused on the iraq war, his record as chairman of major senate committees, and his foreign-policy experience']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"MY RECORD SPEAKS FOR ITSELF.
YOU WON'T
RELEASE YOUR RECORDS.
"
2695.jpg,"['overall, the economy expanded at a rate of 2', '9 percent in 2010', ""the congressional budget office (cbo) and a broad range of economists credit obama's stimulus plan for economic growth"", 'the cbo released a report stating that the stimulus bill increased employment by 1–2', '1 million, while conceding that ""it is impossible to determine how many of the reported jobs would have existed in the absence of the stimulus package', '"" although an april 2010, survey of members of the national association for business economics showed an increase in job creation (over a similar january survey) for the first time in two years, 73 percent of 68 respondents believed the stimulus bill has had no impact on employment', 'the economy of the united states has grown faster than the other original nato members by a wider margin under president obama than it has anytime since the end of world war ii', 'the organisation for economic co-operation and development credits the much faster growth in the united states to the stimulus plan of the u', 's']","[0, 0, 0, 0, 0, 0, 0, 0, 1]",,,"EIGHT YEARS OF WAR
LOWEST ECONOMIC GROWTH IN AMERICAN HISTORY
RECORD NUMBER OF FOOD STAMP RECIPIENTS
RECORD NUMBER OF MASS SHOOTINGS
RECORD HIGH HEALTH INSURANCE COSTS
DOUBLED THE NATIONAL DEBT
REGRESSED RACE RELATIONS 50 YRS
HIGHEST POVERTY LEVEL IN AMERICAN HISTORY
THIS IS WHAT LIBERALSCAL SUCCESS""
"
41.jpg,"['In 2015-16, Blavatnik’s contributions went to GOP PACs and top Republican leaders, including McConnell, according to FEC records.While Blavatnik certainly donated a lot of money to McConnell’s committee, he is nowhere near the majority leader’s highest contributor.', 'In April 2018, the Trump administration announced sanctions on multiple Russian oligarchs and their companies.', 'Then, in December, the administration agreed to lift the sanctions.', 'About a month later, McConnell led Senate Republicans and blocked a Democratic effort to keep the sanctions.', 'The Russian government interfered in the 2016 U.S. presidential election with the goals of harming the campaign of Hillary Clinton, boosting the candidacy of Donald Trump.']","[1, 0, 0, 0, 1]",https://www.politifact.com/factchecks/2019/feb/14/facebook-posts/fact-checking-claim-mitch-mcconnells-biggest-donor/,"In 2015-16, Blavatnik’s contributions went to GOP PACs and top Republican leaders, including McConnell, according to FEC records.While Blavatnik certainly donated a lot of money to McConnell’s committee, he is nowhere near the majority leader’s highest contributor.   The Russian government interfered in the 2016 U.S. presidential election with the goals of harming the campaign of Hillary Clinton, boosting the candidacy of Donald Trump.","I COVERED UP RUSSIAN
INVOLVEMENT IN THE ELECTION
SO I APPOINTED HIS WIFE
TO MY CABINET
"
1856.jpg,"['on december 10, 2020, biden and harris were jointly named time person of the year', 'in march 2019 and april 2019, biden was accused by eight women of previous instances of inappropriate physical contact, such as embracing, touching or kissing', 'biden had previously described himself as a ""tactile politician"" and admitted this behavior has caused trouble for him', 'in april 2019, biden pledged to be more ""respectful of people\'s personal space""']","[0, 1, 1, 1]",,,"Have I ever told you how
good your hair Smells?
"
2476.jpg,"['mueller also investigated trump for obstruction of justice and neither indicted nor exonerated him', 'the house of representatives impeached trump in december 2019 for abuse of power and obstruction of congress after he solicited ukraine to investigate joe biden', 'the senate acquitted him of both charges in february 2020', 'trump lost the 2020 presidential election to biden, but refused to concede defeat', 'he attempted to overturn the results by making false claims of electoral fraud, pressuring government officials, mounting scores of unsuccessful legal challenges and obstructing the presidential transition', 'on the day congress met to tally the electoral votes, january 6, 2021, trump rallied his supporters and told them to march to the capitol', 'when they arrived, hundreds of them broke through security barricades and stormed the capitol, resulting in the deaths of five people and forcing congress to evacuate', 'seven days later, the house impeached trump for incitement of insurrection, making him the only federal office holder in american history to be impeached twice']","[0, 0, 0, 1, 1, 0, 0, 0]",,,"January 20th, 2021....
...The end of an error
"
1731.jpg,"['president, was not born in the united states', 'in april 2011, trump claimed credit for pressuring the white house to publish the ""long-form"" birth certificate, which he considered fraudulent, and later saying this made him ""very popular""', 'in september 2016, amid pressure, he acknowledged that obama was born in the u', 's', 'and falsely claimed the rumors had been started by hillary clinton during her 2008 presidential campaign', 'in 2017, he reportedly still expressed birther views in private', 'according to an analysis in political science quarterly, trump made ""explicitly racist appeals to whites"" during his 2016 presidential campaign', 'in particular, his campaign launch speech drew widespread criticism for claiming mexican immigrants were ""bringing drugs, they\'re bringing crime, they\'re rapists', '"" his later comments about a mexican-american judge presiding over a civil suit regarding trump university were also criticized as racist']","[0, 0, 0, 0, 0, 0, 0, 1, 1]",,,"HELLO OBAMA
TYPD
CAN YOU CALL MEXICO AND TELL
THEMI AM SORRY
"
2496.jpg,"['on november 10, 2014, president obama recommended the federal communications commission reclassify broadband internet service as a telecommunications service in order to preserve net neutrality', 'on february 12, 2013, president obama signed executive order 13636, ""improving critical infrastructure cybersecurity""', 'in 2005 and 2006, obama criticized certain aspects of the patriot act for infringing too much on civil liberties and sought as senator to strengthen civil liberties protections', 'in 2006, he voted to reauthorize a revised version of the patriot act, saying the law was not ideal but that the revised version had strengthened civil liberties', 'in 2011, he signed a four-year renewal of the patriot act', 'following the 2013 global surveillance disclosures by whistleblower edward snowden, obama condemned the leak as unpatriotic, but called for increased restrictions on the nsa to address violations of privacy', 'the changes which obama ordered have been described as ""modest"" however']","[0, 0, 0, 0, 0, 1, 1]",,,"AND THEN I TOLD THEM
WHISTLE BLOWERS SHOULD BE
THANKED AND PROTECTED
"
3149.jpg,"['Schlieffen Plan, battle plan first proposed in 1905 by Alfred, Graf (count) von Schlieffen, chief of the German general staff, that was designed to allow Germany to wage a successful two-front war.', 'The plan was heavily modified by Schlieffen’s successor, Helmuth von Moltke, prior to and during its implementation in World War I. Moltke’s changes, which included a reduction in the size of the attacking army, were blamed for Germany’s failure to win a quick victory.', 'Schlieffen was an ardent student of military history, and his strategic plan was inspired by the Battle of Cannae (216 bce), a pivotal engagement during the Second Punic War.']","[1, 0, 0]",https://www.britannica.com/event/Schlieffen-Plan,"Schlieffen Plan, battle plan first proposed in 1905 by Alfred, Graf (count) von Schlieffen, chief of the German general staff, that was designed to allow Germany to wage a successful two-front war.","Germany: *Attempts the Schlieffen
Plan*
*
Belgium:
The
United
Kingdom
The
United
Kingdom
"
223.jpg,"[""The US government has warned for years that products from China's Huawei Technologies Co, the world's biggest maker of telecommunications equipment, pose a national security risk for any countries that use them."", 'As Washington has waged a global campaign to block the company from supplying state-of-the-art 5G wireless networks, Huawei and its supporters have dismissed the claims as lacking evidence.The incident substantiated suspicions in both countries that China used Huawei equipment as a conduit for espionage.']","[0, 0]",https://www.ndtv.com/world-news/how-china-used-huawei-in-secret-australia-telecom-hack-report-2656051,The incident substantiated suspicions in both countries that China used Huawei equipment as a conduit for espionage.,"when you see a lot of
tiananmen square memes
on your Huawei phone
Now all of China knows you're here.
"
